index,dadjoke
001,A backwards poet writes inverse.
002,A bartender broke up with her boyfriend, but he kept asking her for another shot.
003,A Buddhist walks up to a hot dog stand and says "Make me one with everything."
004,A cabbage and celery walk into a bar and the cabbage gets served first because he was a head.
005,A cross eyed teacher couldn’t control his pupils.
006,A doctor broke his leg while auditioning for a play.Luckily he still made the cast.
007,A hen will always leave her house through the proper eggs-it.
008,A magic tractor drove down the road and turned into a field!
009,A man sued an airline company after it lost his luggage. Sadly, he lost his case.
010,A persistent banker wouldn’t stop hitting on me so I asked him to leave me a loan.
011,My friend got a PhD in Palindromes. Now I call him "Dr Awkward"
012,After eating the ship, the sea monster said, "I can’t believe I ate the hull thing."
013,After the accident, the juggler didn’t have the balls to do it.
014,What kind of airplane goes down the run way and comes back? A Model airplane.
015,All the hens consider the chef to be very mean because he beats the eggs.
016,An untalented gymast walks into a bar.
017,At my boxing club there is only one punch bag. I hate waiting for the punch line!
018,Atheism is a non-prophet organisation.
019,Before my father died he worked in a circus as a stilt walker. I used to look up to him.
020,Can February March? No, but April May.
021,Cartoonist found dead in home. Details are sketchy.
022,Crossing a cement mixer and a chicken will result in you getting a brick layer.
023,Did you hear about the cheese factory that exploded in france? There was nothing but des brie.
024,Did you hear about the circus that caught on fire? It was in tents.
025,Did you hear about the crime in the parking garage? It was wrong on so many levels.
026,Did you hear about the guy who lost the left side of his body? He's alright now.
027,Did you hear about the human cannonball? Too bad he got fired!
028,Did you hear about the invention of the white board? It was remarkable.
029,Did you hear about the pun that was actually funny? Neither have we.
030,Do you know sign language? You should learn it, it’s pretty handy.
031,Don't ever have multiple people wash dishes together. It's hard for them to stay in sink.
032,Don’t judge a meal by the look of the first course. It’s very souperficial.
033,Don’t trust people that do acupuncture, they’re back stabbers.
034,Einstein developed a theory about space, and it was about time too.
035,Eskimos keep all of their chilled eggs inside of the egg-loo.
036,Garbage collectors are rubbish drivers.
037,Getting the ability to fly would be so uplifting.
038,Going to bed with music on gave him sound sleep.
039,Have you ever heard of a music group called Cellophane? They mostly wrap.
040,Have you ever tried to eat a clock? It's very time consuming.
